,title,release_year,runtime_min,genre,rating,gross_usd_mil
1998,The Game,1997,129,"Drama, Mystery, Thriller, Drama, Mystery, Thriller, Drama, Mystery, Thriller",7.7,48.32
1180,Titanic,1997,194,"Drama, Romance, Drama, Romance",7.9,659.33
2200,Open Your Eyes,1997,119,"Drama, Mystery, Sci-Fi, Drama, Mystery, Sci-Fi, Drama, Mystery, Sci-Fi",7.7,0.37
701,Neon Genesis Evangelion: The End of Evangelion,1997,87,"Animation, Action, Drama, Animation, Action, Drama, Animation, Action, Drama",8.1,0.0
1668,Gattaca,1997,106,"Drama, Sci-Fi, Thriller, Drama, Sci-Fi, Thriller, Drama, Sci-Fi, Thriller",7.8,12.34
2228,Happy Together,1997,96,"Drama, Romance, Drama, Romance",7.7,0.19
285,Princess Mononoke,1997,134,"Animation, Action, Adventure, Animation, Action, Adventure, Animation, Action, Adventure",8.3,2.38
602,Fargo,1996,98,"Crime, Thriller, Crime, Thriller",8.1,24.61
2221,Hamlet,1996,242,Drama,7.7,4.41
1002,Sling Blade,1996,135,Drama,8.0,24.48
1806,Breaking the Waves,1996,159,Drama,7.8,4.04
843,The Bandit,1996,128,"Crime, Drama, Thriller, Crime, Drama, Thriller, Crime, Drama, Thriller",8.1,0.0
593,Trainspotting,1996,93,Drama,8.1,16.5
1088,Secrets & Lies,1996,136,"Comedy, Drama, Comedy, Drama",8.0,13.42
2515,Shine,1996,105,"Biography, Drama, Music, Biography, Drama, Music, Biography, Drama, Music",7.6,35.81
1969,Primal Fear,1996,129,"Crime, Drama, Mystery, Crime, Drama, Mystery, Crime, Drama, Mystery",7.7,56.12
738,Underground,1995,167,"Comedy, Drama, Fantasy, Comedy, Drama, Fantasy, Comedy, Drama, Fantasy",8.1,0.17
391,Casino,1995,178,"Crime, Drama, Crime, Drama",8.2,42.44
232,Heat,1995,170,"Action, Crime, Drama, Action, Crime, Drama, Action, Crime, Drama",8.3,67.44
263,Toy Story,1995,81,"Animation, Adventure, Comedy, Animation, Adventure, Comedy, Animation, Adventure, Comedy",8.3,191.8
951,12 Monkeys,1995,129,"Mystery, Sci-Fi, Thriller, Mystery, Sci-Fi, Thriller, Mystery, Sci-Fi, Thriller",8.0,57.14
669,La haine,1995,98,"Crime, Drama, Crime, Drama",8.1,0.31
121,The Usual Suspects,1995,106,"Crime, Drama, Mystery, Crime, Drama, Mystery, Crime, Drama, Mystery",8.5,23.34
2478,Die Hard with a Vengeance,1995,128,"Action, Adventure, Thriller, Action, Adventure, Thriller, Action, Adventure, Thriller",7.6,100.01
1784,Whisper of the Heart,1995,111,"Animation, Drama, Family, Animation, Drama, Family, Animation, Drama, Family",7.8,0.0
62,Se7en,1995,127,"Crime, Drama, Mystery, Crime, Drama, Mystery, Crime, Drama, Mystery",8.6,100.13
591,Before Sunrise,1995,101,"Drama, Romance, Drama, Romance",8.1,5.54
1113,Dilwale Dulhania Le Jayenge,1995,181,"Drama, Romance, Drama, Romance",8.0,0.0
2060,Sense and Sensibility,1995,136,"Drama, Romance, Drama, Romance",7.7,43.18
2062,Apollo 13,1995,140,"Adventure, Drama, History, Adventure, Drama, History, Adventure, Drama, History",7.7,173.84
1309,Ghost in the Shell,1995,83,"Animation, Action, Crime, Animation, Action, Crime, Animation, Action, Crime",7.9,0.52
253,Braveheart,1995,178,"Biography, Drama, History, Biography, Drama, History, Biography, Drama, History",8.3,75.6
2488,The Bridges of Madison County,1995,135,"Drama, Romance, Drama, Romance",7.6,71.52
1336,Once Were Warriors,1994,102,"Crime, Drama, Crime, Drama",7.9,2.2
1003,Chungking Express,1994,102,"Comedy, Crime, Drama, Comedy, Crime, Drama, Comedy, Crime, Drama",8.0,0.6
110,Léon: The Professional,1994,110,"Action, Crime, Drama, Action, Crime, Drama, Action, Crime, Drama",8.5,19.5
28,Forrest Gump,1994,142,"Drama, Romance, Drama, Romance",8.8,330.25
1163,Andaz Apna Apna,1994,160,"Action, Comedy, Romance, Action, Comedy, Romance, Action, Comedy, Romance",8.0,0.0
2142,Clerks,1994,92,Comedy,7.7,3.15
19,Pulp Fiction,1994,154,"Crime, Drama, Crime, Drama",8.9,107.93
